category;dist_cycling;dist_km;dist_walking;google_id;google_web;palabra_clave;place_address;place_lat;place_lng;place_name;place_phone_number;place_types;place_web;school_address;school_id;school_lat;school_lng;school_name
leche y derivados;9 mins;1.4 km;19 mins;ChIJ8fSfPja1pBIRLVMAVR-OlvM;https://maps.google.com/?cid=17552372862944301869;cheese shop;Cam° de Ca la Madrona, 24, 08304 Matar¢, Barcelona, Spain;41.554155;2.453982;Fashionstrass brillantes;937 90 82 32;[u'jewelry_store', u'store', u'point_of_interest', u'establishment'];http://www.fashionstrass.com/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
pescados y derivados;7 mins;1.3 km;17 mins;ChIJWSOIlja1pBIRcb7GFgSrhX4;https://maps.google.com/?cid=9116881054731779697;pescaderia;Carrer Vapor Gordils, 7, 08304 Matar¢, Barcelona, Spain;41.5515211;2.4545873;Gran Blau;937 55 66 21;[u'store', u'point_of_interest', u'establishment'];http://www.granblau.net/es/contacto.php;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
pescados y derivados;8 mins;1.7 km;21 mins;ChIJGzUfJzG1pBIRGSrU9Xgy8N4;https://maps.google.com/?cid=16064395365932345881;pescaderia;Ctra. de Mata, 65, 08304 Matar¢, Barcelona, Spain;41.5481219;2.4518255;bonArea;937 90 94 48;[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment'];http://www.bonarea.es/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
pescados y derivados;9 mins;1.8 km;22 mins;ChIJ7Ua-hTC1pBIRXW3JDSxTvC8;https://maps.google.com/?cid=3439715664079187293;peixateria;Carrer del Poeta Josep Punsola, 18, 08304 Matar¢, Barcelona, Spain;41.5480966;2.4510606;Peixateria Biada;;[u'point_of_interest', u'establishment'];;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
pescados y derivados;9 mins;1.8 km;23 mins;ChIJea-oCzq1pBIRbK7r-PeYPXk;https://maps.google.com/?cid=8736307042969169516;peixateria;Carrer de Pablo Picasso, 48, 08304 Matar¢, Barcelona, Spain;41.5491303;2.4503342;Peixateria D'arenys;;[u'point_of_interest', u'establishment'];;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
pescados y derivados;9 mins;1.5 km;20 mins;ChIJ-XXZOTa1pBIR-imCE1xdsY0;https://maps.google.com/?cid=10210044480271297018;fish shop;Cam° de Ca la Madrona, 20, 08304 Matar¢, Barcelona, Spain;41.554526;2.454693;Sweet Express SA;937 55 31 11;[u'food', u'store', u'point_of_interest', u'establishment'];http://www.sidral.es/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
"grasas comentibles (excepto manteca)";8 mins;1.7 km;21 mins;ChIJGzUfJzG1pBIRGSrU9Xgy8N4;https://maps.google.com/?cid=16064395365932345881;botigues d'oli;Ctra. de Mata, 65, 08304 Matar¢, Barcelona, Spain;41.5481219;2.4518255;bonArea;937 90 94 48;[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment'];http://www.bonarea.es/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
dulces y derivados de la miel;9 mins;1.5 km;20 mins;ChIJ-XXZOTa1pBIR-imCE1xdsY0;https://maps.google.com/?cid=10210044480271297018;golosinas;Cam° de Ca la Madrona, 20, 08304 Matar¢, Barcelona, Spain;41.554526;2.454693;Sweet Express SA;937 55 31 11;[u'food', u'store', u'point_of_interest', u'establishment'];http://www.sidral.es/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
dulces y derivados de la miel;9 mins;1.6 km;20 mins;ChIJe5ZaEzm1pBIR7Ct3qgMx0WQ;https://maps.google.com/?cid=7264641565739920364;golosinas;Carrer Gänere de Punt, 11, 08304 Matar¢, Barcelona, Spain;41.5533784;2.4511503;Distribuciones Delfin Garcia SL;937 90 63 04;[u'point_of_interest', u'establishment'];http://www.distribucionesdelfin.com/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
dulces y derivados de la miel;16 mins;2.4 km;34 mins;ChIJ1yDJDje1pBIR2CZto442090;https://maps.google.com/?cid=15984179488723117784;golosinas;Pol. Ind. Vallveric, Carrer Remences, 60, 08304 Matar¢, Barcelona, Spain;41.557097;2.450887;Taymory;937 96 33 60;[u'clothing_store', u'store', u'point_of_interest', u'establishment'];http://www.taymory.com/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
dulces y derivados de la miel;10 mins;1.9 km;24 mins;ChIJN0woBDq1pBIRl1a1pZACxjc;https://maps.google.com/?cid=4018902537753417367;miel;Carrer Joan Mir¢, 1-3-5, 08304 Matar¢, Barcelona, Spain;41.5498164;2.4502249;Dia;912 17 04 53;[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment'];http://www.dia.es/compra-online/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
establecimientos polivalentes;8 mins;1.7 km;21 mins;ChIJGzUfJzG1pBIRGSrU9Xgy8N4;https://maps.google.com/?cid=16064395365932345881;supermecado e hipermercado;Ctra. de Mata, 65, 08304 Matar¢, Barcelona, Spain;41.5481219;2.4518255;bonArea;937 90 94 48;[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment'];http://www.bonarea.es/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
establecimientos polivalentes;9 mins;1.8 km;22 mins;ChIJj9DrhDC1pBIRtgptJjSBdiw;https://maps.google.com/?cid=3203890245903649462;supermecado e hipermercado;Carrer del Poeta Josep Punsola, 35, 08304 Matar¢, Barcelona, Spain;41.5483943;2.4508167;Condis;937 96 15 47;[u'bakery', u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment'];http://www.condis.es/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
establecimientos polivalentes;10 mins;1.9 km;24 mins;ChIJN0woBDq1pBIRl1a1pZACxjc;https://maps.google.com/?cid=4018902537753417367;supermecado e hipermercado;Carrer Joan Mir¢, 1-3-5, 08304 Matar¢, Barcelona, Spain;41.5498164;2.4502249;Dia;912 17 04 53;[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment'];http://www.dia.es/compra-online/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
establecimientos polivalentes;7 mins;1.4 km;17 mins;ChIJJVto7Da1pBIRZq4mfugaJLc;https://maps.google.com/?cid=13196702393953594982;supermarket;Carrer Vapor Gordils, 11, 08304 Matar¢, Barcelona, Spain;41.5517571;2.454034;Hostelma;937 40 91 71;[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment'];http://www.hostelma.net/;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
establecimientos polivalentes;9 mins;1.7 km;21 mins;ChIJQ4snlzC1pBIR873nG2lwuGs;https://maps.google.com/?cid=7762077554515099123;supermarket;Carrer Santiago Rusi§ol, 34, 08304 Matar¢, Barcelona, Spain;41.548638;2.4513384;Coalinent Supermercat de Aliment;937 96 22 04;[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment'];http://www.propla.net/coaliment;Carrer d'en Passet, 16, 08304 Matar¢, Barcelona;1;41.556094;2.464406;Escola Meritxell
